date,theme_name,grade,avg_rsi,total_trade_value,avg_disparity_20,total_sm_flow,avg_macd_hist,vol_ma20,volume_spike,prev_macd_hist,macd_improving,next_grade,target
2025-04-21,건강기능식품,6등급,55.87230769230769,22739168410.0,102.2386917633785,0.0,116.81076923076922,35037004606.8,0.6490043502630578,117.07923076923078,0,2등급,1
2025-05-12,건강기능식품,6등급,61.71153846153846,49730470010.0,104.86758354511146,0.0,94.34307692307692,39983882164.55,1.2437629194018431,103.71461538461539,0,6등급,0
2025-05-21,건강기능식품,6등급,63.78230769230769,39415965305.0,106.69453974644344,0.0,72.82923076923078,44070932455.05,0.894375569321166,65.73307692307692,1,2등급,1
2025-05-23,건강기능식품,6등급,60.527692307692305,31753193209.0,104.97681390325221,0.0,59.38846153846154,47328990334.3,0.6709036678094525,76.84,0,6등급,0
2025-05-26,건강기능식품,6등급,60.53230769230769,39537183775.0,104.81536824971829,0.0,69.56615384615385,46385510615.25,0.8523606456107762,59.38846153846154,1,6등급,0
2025-05-27,건강기능식품,6등급,60.24153846153846,39171539050.0,104.64343762338045,0.0,65.05153846153846,46480013785.5,0.8427609172142723,69.56615384615385,0,6등급,0
2025-05-28,건강기능식품,6등급,60.152307692307694,47346717930.0,103.97054874833115,0.0,47.75692307692308,46755887700.0,1.0126364883454024,65.05153846153846,0,6등급,0
2025-05-29,건강기능식품,6등급,62.09538461538462,45826182675.0,104.46663263389425,0.0,31.22769230769231,47331291664.5,0.9682005511244292,47.75692307692308,0,6등급,0
2025-05-30,건강기능식품,6등급,61.92230769230769,86993146025.0,104.48996008571814,0.0,15.929230769230768,48088362569.25,1.8090269948311275,31.22769230769231,0,6등급,0
2025-06-02,건강기능식품,6등급,61.932307692307695,73291035540.0,105.19404320673863,0.0,13.402307692307692,51132889263.75,1.4333443033495612,15.929230769230768,0,6등급,0
2025-06-04,건강기능식품,6등급,64.35923076923076,66159444885.0,105.53501204954777,0.0,29.172307692307694,52552562381.5,1.2589194872121023,13.402307692307692,1,6등급,0
2025-06-05,건강기능식품,6등급,63.67307692307692,40608390515.0,104.6584406152776,0.0,18.74923076923077,54310294147.25,0.7477107453128424,29.172307692307694,0,6등급,0
2025-06-09,건강기능식품,6등급,66.45769230769231,51336655680.0,105.50207068617777,0.0,20.26923076923077,54395143668.5,0.9437727748796966,18.74923076923077,1,6등급,0
2025-06-10,건강기능식품,6등급,65.57230769230769,46961192595.0,104.9640981422652,0.0,11.231538461538461,52977692348.75,0.8864333366175403,20.26923076923077,0,6등급,0
2025-06-11,건강기능식품,6등급,66.64153846153846,54988885295.0,105.48759170560976,0.0,8.492307692307692,50764364176.0,1.0832182415277298,11.231538461538461,0,6등급,0
2025-06-12,건강기능식품,6등급,65.68384615384615,56028426285.0,104.76711230720291,0.0,1.7292307692307691,51027284940.25,1.0980091602092106,8.492307692307692,0,6등급,0
2025-06-25,건강기능식품,6등급,57.78769230769231,49552942775.0,102.08884259056957,0.0,-47.95,56852647232.05,0.8716030860048521,-45.213846153846156,0,6등급,0
2025-06-26,건강기능식품,6등급,53.01461538461538,62834426630.0,100.13036463406975,0.0,-71.08384615384615,57353435182.05,1.0955651815894263,-47.95,0,6등급,0
2025-07-17,건강기능식품,6등급,66.12230769230769,108817418590.0,109.4486162237236,0.0,186.5953846153846,76842044265.0,1.4161182153708545,190.03692307692307,0,6등급,0
2025-07-18,건강기능식품,6등급,62.75076923076923,60884904675.0,107.5084174078802,0.0,150.92846153846153,80523363244.0,0.7561147749195224,186.5953846153846,0,6등급,0
2025-07-23,건강기능식품,6등급,57.31384615384616,78847079180.0,103.58737736821782,0.0,-29.266153846153845,79209763802.3,0.9954212131826926,25.755384615384614,0,6등급,0
2025-07-24,건강기능식품,6등급,52.963076923076926,104980156290.0,101.81517969477711,0.0,-96.43076923076923,80674470622.55,1.3012810059971576,-29.266153846153845,0,6등급,0
2025-07-25,건강기능식품,6등급,51.41230769230769,66710157955.0,100.58751749183708,0.0,-143.95307692307694,82781757105.55,0.80585578619625,-96.43076923076923,0,6등급,0
2025-07-28,건강기능식품,6등급,48.37538461538462,52547858605.0,98.31166181820998,0.0,-199.34153846153845,83585662492.55,0.628670719810154,-143.95307692307694,0,6등급,0
2025-07-29,건강기능식품,6등급,48.13461538461539,33977377385.0,97.99191398767503,0.0,-229.26076923076923,83325435039.05,0.40776717660191864,-199.34153846153845,0,6등급,0
2025-07-30,건강기능식품,6등급,46.96923076923077,57388076415.0,97.01350794718321,0.0,-254.9823076923077,81481508896.55,0.7043079735779152,-229.26076923076923,0,6등급,0
2025-08-11,건강기능식품,6등급,47.473076923076924,84844319738.0,97.59307603288863,0.0,-27.681538461538462,78109180509.45,1.0862272422347992,-23.576153846153847,0,6등급,0
2025-08-12,건강기능식품,6등급,45.402307692307694,78182830295.0,96.68485162503426,0.0,-44.55615384615385,77761848779.6,1.0054137282228612,-27.681538461538462,0,6등급,0
2025-08-28,건강기능식품,6등급,55.012307692307694,123498970415.0,104.26908446850939,0.0,81.52846153846154,106936511409.35,1.1548812354860667,89.32384615384615,0,6등급,0
2025-09-02,건강기능식품,6등급,51.23461538461538,167391683350.0,101.73602693824077,0.0,15.096153846153847,112792966459.95,1.484061361303381,39.89230769230769,0,6등급,0
2025-09-03,건강기능식품,6등급,50.56,69108433085.0,101.14510715560138,0.0,-9.182307692307692,117030947937.95,0.5905141699923802,15.096153846153847,0,6등급,0
2025-09-04,건강기능식품,6등급,50.98307692307692,95476967686.0,101.24946027994264,0.0,-18.913076923076922,117832303801.2,0.8102783753348601,-9.182307692307692,0,6등급,0
2025-09-05,건강기능식품,6등급,50.856923076923074,79289999395.0,100.536116343648,0.0,-39.856923076923074,119377827496.25,0.6641936870353142,-18.913076923076922,0,6등급,0
2025-09-08,건강기능식품,6등급,51.35923076923077,79338812615.0,100.5734063405412,0.0,-53.19307692307692,119553285832.0,0.6636272024048705,-39.856923076923074,0,6등급,0
2025-09-09,건강기능식품,6등급,49.747692307692304,109276366300.0,99.89987819597481,0.0,-77.01461538461538,115315176847.5,0.9476321269013349,-53.19307692307692,0,6등급,0
2025-09-10,건강기능식품,6등급,51.42153846153846,214412517305.0,100.37643454859432,0.0,-86.05384615384615,116536779175.6,1.8398699433928822,-77.01461538461538,0,6등급,0
