wics_name,stock_code,stock_name,per,roe,report_count,total_score,3개월,6개월,9개월,12개월
복합기업,402340,SK스퀘어,0.0,37.82,1,62.79,99.13885898815931,121.20559741657698,321.95909580193756,405.38213132400426
비철금속,256940,킵스파마,49.95,-17.0,1,69.21,73.49857006673022,0.0,9.914204003813156,-28.122020972354623
비철금속,014580,태경비케이,5.05,10.6,0,66.88,8.181818181818182,7.2727272727272725,4.659090909090909,-0.3409090909090909
비철금속,032560,황금에스티,3.56,4.77,0,61.22,20.158102766798418,15.41501976284585,16.205533596837945,14.031620553359684
생명보험,085620,미래에셋생명,4.97,8.42,0,53.49,46.41255605381166,77.13004484304933,110.08968609865471,277.13004484304935
생명보험,462980,아이지넷,0.0,18.0,0,21.51,-2.3510971786833856,-32.758620689655174,-33.69905956112852,-30.407523510971785
생물공학,054050,농우바이오,11.12,4.0,0,72.11,16.736401673640167,22.87308228730823,11.157601115760112,9.205020920502092
생물공학,049960,쎌바이오텍,13.71,8.0,0,60.78,1.979414093428345,-0.870942201108472,3.167062549485352,12.114014251781473
생물공학,251120,바이오에프디엔씨,20.14,7.0,0,60.19,61.865049279757386,32.52463987869598,20.54586808188021,1.7437452615617892
손해보험,000540,흥국화재,0.72,9.97,0,71.29,30.56379821958457,15.875370919881307,5.786350148367952,21.958456973293767
손해보험,244920,에이플러스에셋,9.06,13.82,0,57.91,44.67564259485924,68.42105263157895,126.43818849449204,157.03794369645044
손해보험,211050,인카금융서비스,12.16,40.0,0,57.18,103.862660944206,80.25751072961373,85.55078683834049,68.0972818311874
전기장비,267260,HD현대일렉트릭,42.08,41.5,1,75.74,67.65676567656766,96.69966996699671,170.2970297029703,191.08910891089107
전기장비,010120,LS ELECTRIC,25.1,14.67,2,64.28,67.89772727272727,64.20454545454545,179.82954545454547,331.25
전기장비,015860,일진홀딩스,5.95,7.36,0,49.02,65.9634317862166,54.43037974683544,91.56118143459916,88.46694796061885
전기제품,042110,에스씨디,14.35,5.0,0,54.59,-0.7665505226480837,-7.665505226480835,-11.846689895470384,-0.13937282229965156
전기제품,302430,이노메트리,12.66,-7.0,0,52.69,-21.520236920039487,-26.653504442250743,-30.108588351431393,-35.43928923988154
전기제품,001820,삼화콘덴서,12.55,4.62,0,51.2,2.161100196463654,26.91552062868369,18.467583497053045,111.00196463654224
전문소매,064240,홈캐스트,0.0,0.0,0,31.19,7.317073170731707,2.4390243902439024,-6.536585365853659,-4.2439024390243905
전문소매,002420,세기상사,0.0,-10.99,0,29.99,9.8,10.8,8.6,-0.5
전문소매,178780,일월지엠엘,0.0,14.0,0,29.63,-19.005847953216374,-13.88888888888889,-21.052631578947366,-24.269005847953213
전자제품,297570,알로이스,6.13,0.0,0,61.44,3.6994219653179194,6.011560693641618,30.63583815028902,86.58959537572254
전자제품,009140,경인전자,4.19,4.88,0,57.33,11.170784103114931,16.004296455424274,9.828141783029002,17.883995703544574
전자제품,032540,TJ미디어,13.95,5.0,0,56.32,30.0,27.23404255319149,20.0,-18.085106382978726
창업투자,026890,스틱인베스트먼트,11.94,5.99,0,70.71,21.22222222222222,18.444444444444443,4.666666666666667,2.888888888888889
창업투자,041190,우리기술투자,4.02,30.0,0,53.35,44.67408585055644,75.19872813990462,19.71383147853736,-1.4308426073131957
창업투자,027830,대성창투,40.93,15.0,0,52.95,-0.5841741901221456,-11.046202867764206,-15.77270313329793,-23.154540626659585
통신장비,073540,에프알텍,7.71,4.0,0,60.24,43.18518518518519,72.96296296296296,49.629629629629626,108.88888888888889
통신장비,170790,파이오링크,4.74,9.0,0,56.29,11.866666666666667,58.266666666666666,17.466666666666665,22.53333333333333
